iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
80,2056.22,54.7602,19420,12405,394,385,710428,877792,5766.54,57.4329,0.212,2.04391e+07,20,24651,1887.75,2226.74
81,2039.83,53.2652,18672,16578,380,394,712522,883624,5533.27,56.3453,0.24,2.04391e+07,20,24651,1884.68,2192.19
82,2051.14,52.2019,19116,15912,389,380,715726,885584,5454.85,55.3036,0.222,2.04391e+07,20,24651,1882.94,2237.11
83,2048.83,51.7808,18973,15996,385,389,718703,888016,5357.58,54.2382,0.23,2.04391e+07,20,24651,1882.17,2207.95
84,2049.6,50.4168,18909,14512,384,385,723100,885326,5465.18,53.3244,0.232,2.04391e+07,20,24651,1888.15,2253.57
85,2047.62,49.4253,18961,15893,384,384,726168,885398,5462.31,52.3197,0.232,2.04391e+07,20,24651,1886.51,2229.45
86,2056.68,48.439,19079,14092,387,384,731155,880173,5671.29,51.44,0.226,2.04391e+07,20,24651,1895.9,2230.82
87,2049,47.0456,19148,17013,389,387,733290,880790,5646.64,50.4091,0.222,2.04391e+07,20,24651,1893.36,2222.78
88,2049.42,46.5161,19171,16664,391,389,735797,879631,5692.99,49.3861,0.218,2.04391e+07,20,24651,1896.81,2208.72
89,2038.73,45.0598,18569,19072,377,391,735294,884645,5492.43,48.271,0.246,2.04391e+07,20,24651,1895.63,2192.67
90,2046.84,44.2644,19165,17357,389,377,737102,883788,5526.71,47.2553,0.222,2.04391e+07,20,24651,1881.87,2207.64
91,2057.34,43.2991,18832,16126,382,389,739808,879714,5689.67,46.3375,0.236,2.04391e+07,20,24651,1898.02,2241.11
92,2048.33,41.9592,19225,20907,390,382,738126,884175,5511.23,45.1855,0.22,2.04391e+07,20,24651,1884.79,2231.14
93,2032.28,41.1997,18708,18592,383,390,738242,883814,5525.68,44.1727,0.234,2.04391e+07,20,24651,1874.61,2212.3
94,2054.84,40.3209,19285,18679,389,383,738848,881425,5621.22,43.1828,0.222,2.04391e+07,20,24651,1902.31,2237.53
95,2052.29,39.5754,19007,18591,385,389,739264,878952,5720.12,42.2106,0.23,2.04391e+07,20,24651,1877.31,2231.87
96,2046.75,38.2277,19042,20156,387,385,738150,878002,5758.14,41.2118,0.226,2.04391e+07,20,24651,1888.14,2225.28
97,2059.42,37.4824,19264,19243,389,387,738171,874234,5908.85,40.2653,0.222,2.04391e+07,20,24651,1884.1,2206.42
98,2050.39,35.8872,18890,21680,384,389,735381,874374,5903.27,39.2593,0.232,2.04391e+07,20,24651,1893.21,2234.28
99,2053,34.7699,18940,24619,385,384,729702,878130,5753.03,38.1405,0.23,2.04391e+07,20,24651,1889.7,2245.12
100,2049.07,34.245,18957,27217,386,385,721442,884974,5479.24,36.9313,0.228,2.04391e+07,20,24651,1902.87,2229.46
101,2050.32,33.065,19204,23237,387,386,717409,884169,5511.46,35.96,0.226,2.04391e+07,20,24651,1894.45,2219.59
102,2045.97,32.0477,18934,22634,386,387,713709,881617,5613.54,35.0452,0.228,2.04391e+07,20,24651,1890.22,2203.39
103,2048.99,31.3721,18945,23611,384,386,709043,879628,5693.11,34.1159,0.232,2.04391e+07,20,24651,1880.88,2202.1
104,2040.62,30.1982,18970,24780,387,384,703233,878149,5752.25,33.1957,0.226,2.04391e+07,20,24651,1887.17,2215.95
105,2044.54,29.5539,19096,25217,388,387,697112,876143,5832.5,32.281,0.224,2.04391e+07,20,24651,1871.83,2195.67
106,2057.47,28.5642,18938,23921,385,388,692129,871307,6025.94,31.4599,0.23,2.04391e+07,20,24651,1880.96,2247.75
107,2045.65,27.2892,19140,29039,389,385,682230,871754,6008.07,30.5279,0.222,2.04391e+07,20,24651,1887.21,2209.76
108,2046.48,26.7666,18844,34900,383,389,666174,879135,5712.81,29.4397,0.234,2.04391e+07,20,24651,1907.53,2202.06
109,2041.79,26.2374,19160,30302,391,383,655032,879010,5717.8,28.5451,0.218,2.04391e+07,20,24651,1899.79,2207.15
110,2051.34,25.4583,18753,30970,378,391,642815,879729,5689.07,27.696,0.244,2.04391e+07,20,24651,1893.79,2217.61
111,2058.54,24.7594,19351,29794,391,378,632372,876375,5823.23,26.9257,0.218,2.04391e+07,20,24651,1883.56,2248.22
112,2053.01,23.7414,18640,35682,378,391,615330,880407,5661.92,26.0714,0.244,2.04391e+07,20,24651,1897.22,2223.2
113,2048.2,23.091,19508,35210,396,378,599628,881029,5637.05,25.2829,0.208,2.04391e+07,20,24651,1892.83,2219.96
114,2051.92,22.6773,18675,34841,379,396,583462,881776,5607.16,24.5573,0.242,2.04391e+07,20,24651,1888.75,2218.59
115,2053.04,22.1758,19496,33670,393,379,569288,878777,5727.13,23.9151,0.214,2.04391e+07,20,24651,1898.18,2205.88
116,2051.87,21.6249,18642,36818,378,393,551112,879979,5679.06,23.271,0.244,2.04391e+07,20,24651,1887.49,2214.65
117,2052.78,21.0482,19376,35868,392,378,534620,877924,5761.25,22.7051,0.216,2.04391e+07,20,24651,1892.34,2229.24
118,2063.1,20.8897,18933,44541,382,392,509012,884886,5482.76,22.0676,0.236,2.04391e+07,20,24651,1892.97,2250.66
119,2037.03,20.8077,18943,39141,385,382,488814,886078,5435.09,21.5828,0.23,2.04391e+07,20,24651,1890.34,2199.62
120,2058.77,20.3199,19316,35341,391,385,472789,881900,5602.22,21.2214,0.218,2.04391e+07,20,24651,1878.49,2251.82
121,2043.04,20.2475,18668,44087,379,391,447370,887559,5375.87,20.8322,0.242,2.04391e+07,20,24651,1896.57,2199.62
122,2061.98,20.2202,19265,36456,390,379,430179,883973,5519.3,20.5814,0.22,2.04391e+07,20,24651,1877.69,2239.51
123,2036.63,20.179,19032,39636,388,390,409575,884006,5518,20.3811,0.224,2.04391e+07,20,24651,1905.89,2191.42
124,2053.06,20.3966,18726,36406,378,388,391895,881860,5603.8,20.2571,0.244,2.04391e+07,20,24651,1878.03,2215.94
125,2049.23,20.6653,19471,35558,394,378,375808,877276,5787.19,20.1994,0.212,2.04391e+07,20,24651,1896.92,2228.31
126,2045.13,20.8312,18919,38641,384,394,356086,877761,5767.79,20.2202,0.232,2.04391e+07,20,24651,1886.2,2192.06
127,2048.69,20.9018,19315,34094,390,384,341307,873241,5948.59,20.3159,0.22,2.04391e+07,20,24651,1885.01,2208.74
128,2054.34,21.8327,18717,38536,379,390,321488,875121,5873.4,20.4814,0.242,2.04391e+07,20,24651,1890.64,2235.76
129,2046.65,23.1401,19118,39121,389,379,301485,878522,5737.33,20.7604,0.222,2.04391e+07,20,24651,1888.14,2181.96
130,2048.15,23.0166,19092,36024,387,389,284553,879321,5705.36,21.1912,0.226,2.04391e+07,20,24651,1895.65,2229.45
131,2053.67,23.9436,18603,34264,378,387,268892,879998,5678.3,21.6699,0.244,2.04391e+07,20,24651,1899.24,2248.87
132,2046.51,24.9761,19480,32071,396,378,256301,878328,5745.11,22.2309,0.208,2.04391e+07,20,24651,1878.74,2235.21
133,2057.49,25.3028,19150,33385,386,396,242066,880771,5647.39,22.9717,0.228,2.04391e+07,20,24651,1893.3,2217.61
134,2043.7,26.8707,18741,32477,383,386,228330,884189,5510.65,23.7864,0.234,2.04391e+07,20,24651,1889.11,2222.18
135,2044.8,27.9368,18807,27384,383,383,219753,882005,5598.04,24.5952,0.234,2.04391e+07,20,24651,1890.84,2238.31
136,2055.36,28.9829,19170,24420,388,383,214503,876686,5810.8,25.3957,0.224,2.04391e+07,20,24651,1887.36,2210.28
137,2050.13,30.3113,19034,26364,387,388,207173,875530,5857,26.3435,0.226,2.04391e+07,20,24651,1892.57,2238.5
138,2056.25,31.5892,19208,23562,389,387,202819,871324,6025.26,27.2686,0.222,2.04391e+07,20,24651,1894.58,2234.22
139,2056.22,33.8336,19067,28537,385,389,193349,877540,5776.61,28.5083,0.23,2.04391e+07,20,24651,1886.99,2232.07
140,2046.44,33.5301,18569,22390,378,385,189528,875942,5840.54,29.6619,0.244,2.04391e+07,20,24651,1887.19,2253.54
141,2052.23,35.5965,19437,20333,395,378,188632,870400,6062.21,30.6759,0.21,2.04391e+07,20,24651,1888.55,2231.65
142,2044.09,36.692,18831,24178,383,395,183285,874807,5885.92,32.0353,0.234,2.04391e+07,20,24651,1865.11,2236.11
143,2051.32,38.2494,19059,19982,386,383,182362,872156,5991.97,33.1942,0.228,2.04391e+07,20,24651,1873.46,2234.9
144,2045.88,39.4916,18963,21030,385,386,180295,873340,5944.6,34.4944,0.23,2.04391e+07,20,24651,1875.92,2202.31
145,2042.82,40.6944,19139,21783,388,385,177651,877533,5776.9,35.9479,0.224,2.04391e+07,20,24651,1873.31,2240.78
146,2050.32,42.3152,18984,21139,386,388,175496,881786,5606.78,37.4023,0.228,2.04391e+07,20,24651,1866.64,2232.8
147,2046.41,44.1913,18841,20427,383,386,173910,886098,5434.31,38.8696,0.234,2.04391e+07,20,24651,1886.08,2232.33
148,2049.54,44.3582,19185,16439,388,383,176656,882628,5573.08,40.1427,0.224,2.04391e+07,20,24651,1884.04,2229.67
149,2057.86,46.2463,19242,16878,391,388,179020,880558,5655.91,41.38,0.218,2.04391e+07,20,24651,1897,2236.27
150,2052.21,46.9814,18845,17752,382,391,180113,882453,5580.1,42.7536,0.236,2.04391e+07,20,24651,1887.88,2254.4
