iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
96,2049.81,37.8765,19250,22830,389,383,739497,851554,5770.54,40.2986,0.222,1.99164e+07,20,24796,1891.31,2229.69
97,2047.22,36.4422,19186,22124,387,389,736559,852761,5722.27,39.2497,0.226,1.99164e+07,20,24796,1872.1,2220.62
98,2054.68,35.2544,19065,22243,384,387,733381,852955,5714.53,38.2295,0.232,1.99164e+07,20,24796,1887.46,2228.02
99,2047.56,33.9926,19003,28023,383,384,724361,861715,5364.13,37.0011,0.234,1.99164e+07,20,24796,1881.37,2229.46
100,2046.43,33.391,19310,20174,390,383,723497,855623,5607.81,36.1298,0.22,1.99164e+07,20,24796,1882.52,2243.28
101,2057.75,31.9857,19277,27322,388,390,715452,860114,5428.16,35.0238,0.224,1.99164e+07,20,24796,1874.03,2272.12
102,2034.99,30.8253,18745,27112,382,388,707085,863734,5283.33,33.9724,0.236,1.99164e+07,20,24796,1883.78,2223.47
103,2042.81,30.5432,19117,22155,387,382,704047,858343,5498.98,33.1216,0.226,1.99164e+07,20,24796,1881.24,2201.51
104,2060.12,29.5295,18993,26708,383,387,696332,858707,5484.44,32.1615,0.234,1.99164e+07,20,24796,1891.25,2249.28
105,2051.41,28.7368,18989,27229,384,383,688092,858466,5494.06,31.2224,0.232,1.99164e+07,20,24796,1892.35,2239.94
106,2050.09,27.7799,19322,26203,390,384,681211,855090,5629.1,30.371,0.22,1.99164e+07,20,24796,1882.92,2239.96
107,2051.61,27.0536,19328,25862,388,390,674677,850308,5820.38,29.5595,0.224,1.99164e+07,20,24796,1886.04,2230
108,2056.71,26.0604,19170,29046,387,388,664801,848702,5884.63,28.7026,0.226,1.99164e+07,20,24796,1880.03,2249.1
109,2032.8,24.8365,18792,36676,381,387,646917,856411,5576.28,27.6952,0.238,1.99164e+07,20,24796,1888.61,2196.08
110,2046.26,24.5482,19399,31113,390,381,635203,855126,5627.69,26.8673,0.22,1.99164e+07,20,24796,1878.49,2224.06
111,2060.19,23.7212,19033,31072,383,390,623164,853032,5711.42,26.1125,0.234,1.99164e+07,20,24796,1898.33,2213.37
112,2051.88,23.2079,19333,38863,389,383,603634,858288,5501.18,25.2234,0.222,1.99164e+07,20,24796,1890.72,2212.36
113,2057.71,22.5961,19062,32881,383,389,589815,856180,5585.5,24.5351,0.234,1.99164e+07,20,24796,1890.6,2243.53
114,2054.45,22.0568,19101,33770,385,383,575146,854025,5671.7,23.8778,0.23,1.99164e+07,20,24796,1886.03,2237.35
115,2048.25,21.5267,19143,41659,387,385,552630,859353,5458.58,23.1386,0.226,1.99164e+07,20,24796,1881.43,2222.95
116,2053.42,21.3515,19108,38709,386,387,533029,860706,5404.48,22.5136,0.228,1.99164e+07,20,24796,1881.37,2243.36
117,2047.37,20.6565,19112,31338,386,386,520803,853715,5684.1,22.0763,0.228,1.99164e+07,20,24796,1897.41,2219.54
118,2058.08,20.4359,19166,37483,386,386,502486,852236,5743.29,21.585,0.228,1.99164e+07,20,24796,1888.85,2243.05
119,2053.59,20.0829,19184,38188,386,386,483482,851029,5791.55,21.155,0.228,1.99164e+07,20,24796,1871.54,2228.13
120,2049.12,20.049,18927,39797,383,386,462612,851122,5787.85,20.7641,0.234,1.99164e+07,20,24796,1891.07,2232.45
121,2042.51,19.603,19296,35955,390,383,445953,846577,5969.64,20.4878,0.22,1.99164e+07,20,24796,1891,2223.2
122,2072.94,19.8352,19396,37043,386,390,428306,842982,6113.44,20.2336,0.228,1.99164e+07,20,24796,1899.8,2243.22
123,2042.5,19.6473,19185,38445,388,386,409046,841128,6187.59,20.0546,0.224,1.99164e+07,20,24796,1880.83,2190.13
124,2040.49,20.3849,18767,47197,382,388,380616,849228,5863.59,19.906,0.236,1.99164e+07,20,24796,1896.33,2230.41
125,2046.94,21.0008,19291,46838,390,382,353069,856898,5556.79,19.9105,0.22,1.99164e+07,20,24796,1885.35,2209
126,2047.84,20.707,18941,38309,382,390,333701,857527,5531.62,20.0582,0.236,1.99164e+07,20,24796,1895.69,2202.72
127,2046.09,21.5627,19275,34717,388,382,318259,854045,5670.9,20.2304,0.224,1.99164e+07,20,24796,1886.95,2230.94
128,2046.82,22.014,19088,37270,385,388,300077,854989,5633.15,20.5361,0.23,1.99164e+07,20,24796,1888.38,2198.27
129,2053.48,23.0437,19147,34977,385,385,284247,854120,5667.9,20.9024,0.23,1.99164e+07,20,24796,1891.84,2217.17
130,2044.86,23.0599,19311,30863,391,385,272695,849345,5858.9,21.3533,0.218,1.99164e+07,20,24796,1899.98,2232.67
131,2054.02,24.5461,19177,31284,385,391,260588,846526,5971.68,21.8356,0.23,1.99164e+07,20,24796,1896.26,2229.67
132,2055.67,25.0221,19088,28158,385,385,251518,841299,6180.74,22.387,0.23,1.99164e+07,20,24796,1896.43,2239.34
133,2051.19,27.6294,19202,35340,388,385,235380,847153,5946.6,23.1482,0.224,1.99164e+07,20,24796,1904.64,2210.14
134,2051.31,28.1434,19093,29564,386,388,224909,846850,5958.72,23.9773,0.228,1.99164e+07,20,24796,1895.55,2223.07
135,2047.14,28.2534,19064,26394,383,386,217579,843845,6078.91,24.8296,0.234,1.99164e+07,20,24796,1887.23,2250.79
136,2062.28,29.8373,19349,26387,387,383,210541,841492,6173.01,25.7137,0.226,1.99164e+07,20,24796,1902.01,2252.25
137,2028.69,31.3011,18790,30436,384,387,198895,849281,5861.47,26.9329,0.232,1.99164e+07,20,24796,1894.95,2178.26
138,2040.85,32.419,19019,23372,387,384,194542,846306,5980.45,27.961,0.226,1.99164e+07,20,24796,1887.04,2229.66
139,2057.59,33.9312,19425,23535,389,387,190432,844491,6053.09,29.0646,0.222,1.99164e+07,20,24796,1895.98,2262.35
140,2046.24,34.9466,18939,25604,382,389,183767,849272,5861.83,30.4156,0.236,1.99164e+07,20,24796,1883.28,2205.25
141,2039.02,36.9678,19138,22927,386,382,179978,850628,5807.61,31.6854,0.228,1.99164e+07,20,24796,1888.94,2213.37
142,2039.66,37.2759,19019,20250,385,386,178747,848711,5884.28,32.9444,0.23,1.99164e+07,20,24796,1884.79,2211.01
143,2044.85,39.4538,19310,24014,390,385,174043,855253,5622.6,34.4742,0.22,1.99164e+07,20,24796,1891.28,2211.12
144,2052.68,40.1121,18979,17720,381,390,175302,851077,5789.64,35.6818,0.238,1.99164e+07,20,24796,1894.01,2216.94
145,2052.87,42.8471,19310,19602,389,381,175010,851499,5772.77,36.9816,0.222,1.99164e+07,20,24796,1882.93,2228.44
146,2046.39,43.6734,19253,18912,391,389,175351,851942,5755.03,38.3687,0.218,1.99164e+07,20,24796,1897.98,2195.54
147,2053.93,43.9073,18820,17334,379,391,176837,850733,5803.39,39.6769,0.242,1.99164e+07,20,24796,1895.44,2226.75
148,2031.2,46.9636,19155,18334,388,379,177658,852715,5724.12,40.9775,0.224,1.99164e+07,20,24796,1892.97,2178.89
149,2039.61,46.8222,18920,16282,384,388,180296,851340,5779.11,42.2728,0.232,1.99164e+07,20,24796,1882.77,2211.12
150,2042.85,47.7171,19152,14324,387,384,185124,845483,6013.41,43.349,0.226,1.99164e+07,20,24796,1899.05,2198.62
151,2045.75,49.572,19127,18136,385,387,186115,849803,5840.6,44.6888,0.23,1.99164e+07,20,24796,1907.51,2225.6
152,2043.23,49.9747,19107,15723,385,385,189499,849302,5860.64,45.9078,0.23,1.99164e+07,20,24796,1899.14,2232.01
153,2048.58,51.8865,19426,16885,393,385,192040,851990,5753.13,47.1471,0.214,1.99164e+07,20,24796,1885.9,2210.36
154,2047.01,52.2149,18893,15681,380,393,195252,853662,5686.22,48.3551,0.24,1.99164e+07,20,24796,1895.13,2231.07
155,2043.41,53.8073,18986,15079,385,380,199159,853906,5676.46,49.444,0.23,1.99164e+07,20,24796,1892.45,2224.1
